"Deutsch","Türkisch","Fach","Richtig","Falsch","Erstellt am","Zuletzt gelernt","Nächste Wiederholung"
"Abend","akşam","1","0","0","2026-04-06","","2026-04-06"
"Abendessen","akşam yemeği","1","0","0","2026-04-06","","2026-04-06"
"aber","ama","1","0","0","2026-04-06","","2026-04-06"
"alle / allesamt","hepsi","1","0","0","2026-04-06","","2026-04-06"
"alt","eski","1","0","0","2026-04-06","","2026-04-06"
"alt","yaşlı","1","0","0","2026-04-06","","2026-04-06"
"am Abend","akşam","1","0","0","2026-04-06","","2026-04-06"
"am Mittag","öğlen","1","0","0","2026-04-06","","2026-04-06"
"am Morgen","sabah","1","0","0","2026-04-06","","2026-04-06"
"anders / sonst / andere","başka","1","0","0","2026-04-06","","2026-04-06"
"antworten","cevap vermek","1","0","0","2026-04-06","","2026-04-06"
"Apfel","elma","1","0","0","2026-04-06","","2026-04-06"
"April","Nisan","1","0","0","2026-04-06","","2026-04-06"
"Arbeit","iş","1","0","0","2026-04-06","","2026-04-06"
"arm","fakir","1","0","0","2026-04-06","","2026-04-06"
"Aubergine","patlıcan","1","0","0","2026-04-06","","2026-04-06"
"auch","de","1","0","0","2026-04-06","","2026-04-06"
"auch / ebenfalls","de","1","0","0","2026-04-06","","2026-04-06"
"August","Ağustos","1","0","0","2026-04-06","","2026-04-06"
"Auto","araba","1","0","0","2026-04-06","","2026-04-06"
"Bad","banyo","1","0","0","2026-04-06","","2026-04-06"
"bald","yakında","1","0","0","2026-04-06","","2026-04-06"
"Banane","muz","1","0","0","2026-04-06","","2026-04-06"
"Baum","ağaç","1","0","0","2026-04-06","","2026-04-06"
"bei wem / wer hat","kimde","1","0","0","2026-04-06","","2026-04-06"
"besorgt","endişeli","1","0","0","2026-04-06","","2026-04-06"
"besuchen","ziyaret etmek","1","0","0","2026-04-06","","2026-04-06"
"Bett","yatak","1","0","0","2026-04-06","","2026-04-06"
"Bild","resim","1","0","0","2026-04-06","","2026-04-06"
"billig","ucuz","1","0","0","2026-04-06","","2026-04-06"
"Birne","armut","1","0","0","2026-04-06","","2026-04-06"
"blau","mavi","1","0","0","2026-04-06","","2026-04-06"
"bleiben","kalmak","1","0","0","2026-04-05","","2026-04-05"
"Blume","çiçek","1","0","0","2026-04-06","","2026-04-06"
"brauchen","ihtiyaç duymak","1","0","0","2026-04-06","","2026-04-06"
"braun","kahverengi","1","0","0","2026-04-06","","2026-04-06"
"Brot","ekmek","1","0","0","2026-04-06","","2026-04-06"
"Bruder","erkek kardeş","1","0","0","2026-04-06","","2026-04-06"
"Bruder","kardeş","1","0","0","2026-04-06","","2026-04-06"
"Brücke","köprü","1","0","0","2026-04-06","","2026-04-06"
"Buch","kitap","1","0","0","2026-04-06","","2026-04-06"
"Bus","otobüs","1","0","0","2026-04-06","","2026-04-06"
"danke / danke dir","sağ ol","1","0","0","2026-04-06","","2026-04-06"
"deshalb","bu yüzden","1","0","0","2026-04-06","","2026-04-06"
"Dezember","Aralık","1","0","0","2026-04-06","","2026-04-06"
"Dienstag","Salı","1","0","0","2026-04-06","","2026-04-06"
"doch","fakat","1","0","0","2026-04-06","","2026-04-06"
"Donnerstag","Perşembe","1","0","0","2026-04-06","","2026-04-06"
"du","sen","1","0","0","2026-04-06","","2026-04-06"
"Ei","yumurta","1","0","0","2026-04-06","","2026-04-06"
"ein bisschen","biraz","1","0","0","2026-04-06","","2026-04-06"
"einladen","davet etmek","1","0","0","2026-04-06","","2026-04-06"
"er / sie / es","o","1","0","0","2026-04-06","","2026-04-06"
"Erdbeere","çilek","1","0","0","2026-04-06","","2026-04-06"
"es geht / geht so","idare eder","1","0","0","2026-04-06","","2026-04-06"
"Essen","yemek","1","0","0","2026-04-06","","2026-04-06"
"essen","yemek yemek","1","0","0","2026-04-06","","2026-04-06"
"Essen kochen","Yemek pişirmek","1","0","0","2026-04-05","","2026-04-05"
"etwas anderes","başka bir şey","1","0","0","2026-04-06","","2026-04-06"
"falsch","yanlış","1","0","0","2026-04-06","","2026-04-06"
"Familie","aile","1","0","0","2026-04-06","","2026-04-06"
"Februar","Şubat","1","0","0","2026-04-06","","2026-04-06"
"Feige","incir","1","0","0","2026-04-06","","2026-04-06"
"Fenster","pencere","1","0","0","2026-04-06","","2026-04-06"
"Fernsehen","televiziyon seyretmek","1","0","0","2026-04-05","","2026-04-05"
"fertig / bereit","hazır","1","0","0","2026-04-06","","2026-04-06"
"finden","bulmak","1","0","0","2026-04-06","","2026-04-06"
"fragen","sormak","1","0","0","2026-04-06","","2026-04-06"
"Frau","kadın","1","0","0","2026-04-06","","2026-04-06"
"Freitag","Cuma","1","0","0","2026-04-06","","2026-04-06"
